questao,exercicio, probabilidade
1,192,0.0952381
1,193,0.0952381
1,165,0.71428571
1,166,0.66666667
1,168,0.42857143
1,171,0.42857143
1,172,0.0952381
1,175,0.33333333
1,176,0.33333333
1,177,0.04761905
1,178,0.0952381
1,179,0.28571429
1,182,0.57142857
1,189,0.47619048
1,190,0.28571429
1,191,0.0952381
2,192,0.18181818
2,193,0.18181818
2,165,0.90909091
2,166,0.72727273
2,168,0.45454545
2,171,0.54545455
2,172,0.09090909
2,175,0.27272727
2,176,0.27272727
2,177,0.09090909
2,178,0.27272727
2,179,0.36363636
2,182,0.72727273
2,189,0.72727273
2,190,0.54545455
2,191,0.09090909
3,192,0.14285714
3,193,0.14285714
3,165,0.57142857
3,166,0.71428571
3,168,0.42857143
3,171,0.71428571
3,172,0.28571429
3,175,0.57142857
3,176,0.42857143
3,177,0.14285714
3,178,0.14285714
3,179,0.14285714
3,182,0.57142857
3,189,0.57142857
3,190,0.57142857
3,191,0.14285714
4,192,0.1
4,193,0.3
4,165,0.9
4,166,0.7
4,168,0.6
4,171,0.7
4,172,0.2
4,175,0.4
4,176,0.2
4,177,0.3
4,178,0.5
4,179,0.4
4,182,0.4
4,189,0.8
4,190,0.7
4,191,0.1
