Turma Teoria,Turma Prática,Matrícula,Nota,status,Numero MTPs,count,69,70,71,72,51,52,53,54,61,62,63,64,65,66,67,68,73,74,75,76,77,78,79,80,103,104,105,106,107,108,109,110,132,133,134,135,136,137,139,140,142,"145,000000000000000",148,149,150,151,154,155,156,157,176,177,178,179,181,182,189,190
1,1,562A867F,"9.6",#VALUE!,21,21,10,10,"7.5",0,0,10,"6.7",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,10,0,0,0,0,10,10,0,0,0,0,4,0,0,"10.0",0,0,10,0,0,10,0,0,10,0,0,10,0,"6.2",0,0
1,1,258DFC4B,"8.5",#VALUE!,21,21,10,10,"7.5",10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,4,"6.7",0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0",0,0,0,0,0,10,0,0,6,0,0,0,0,"2.5",0,0
1,1,1397BFB0,"9.6",#VALUE!,21,21,10,10,"6.8",10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,10,0,0,0,0,0,0,0,0,0,0,10,0,0,"0.0",0,0,10,0,0,10,0,0,0,0,0,"7.5",0,10,0,0
1,1,13085463,"7.1",#VALUE!,21,21,10,10,"6.8",10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,1,22EB47AA,"9.1",#VALUE!,21,21,10,10,"7.5",10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,7,10,0,0,0,0,10,10,0,0,0,0,10,0,0,"1.7",0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0
1,1,5EA91E42,"9.7",#VALUE!,21,21,10,10,"7.5",10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"6.7",4,"8.3",0,0,0,0,10,10,0,0,0,0,0,0,0,"10.0",0,0,10,0,0,"7.5",0,0,10,0,0,10,0,"7.5",0,0
1,1,673B031F,"8.5",#VALUE!,21,21,10,10,"7.5",10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,"6.7",0,0,0,0,10,10,0,0,0,0,0,0,0,"8.3",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
1,1,5978A120,"8.3",#VALUE!,21,22,10,10,"7.5",10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,"10.0",0,0,0,0,0,10,0,0,6,0,0,0,0,0,10,0
1,1,67657F86,"8.8",#VALUE!,21,21,10,10,"7.5",10,"6.7",9,"3.3",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0",0,0,10,0,0,10,0,0,0,0,0,10,0,0,0,0
1,1,240164B6,"3.1",#VALUE!,21,21,0,10,0,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,189E4323,"1.4",#VALUE!,21,21,0,0,"1.8",0,"3.3",10,"3.3","3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2B989949,"5.9",#VALUE!,21,21,10,10,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,"0.0",0,0,0,0,0,0,0,0,6,0,0,0,0,"8.8",0,0
1,1,63116A24,"10.0",#VALUE!,21,21,10,10,"7.5",10,10,9,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"6.7",10,10,0,0,0,0,10,10,0,0,0,0,0,0,0,"10.0",0,0,10,0,0,10,0,0,0,0,0,10,0,10,0,0
1,1,28E49A9D,"5.7",#VALUE!,21,21,10,0,"6.8",10,10,10,"6.7",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3.3",5,10,0,0,0,0,0,10,0,0,0,0,0,0,0,"0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1DF2A12E,"9.8",#VALUE!,21,21,10,10,"7.5",10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,8,"8.3",0,0,0,0,10,10,0,0,0,0,8,0,0,"8.3",0,0,0,0,0,10,0,0,10,0,0,10,0,"8.8",0,0
1,1,25762941,"9.3",#VALUE!,21,21,10,10,"7.5",10,10,10,"5.7",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"6.7",9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,"10.0",0,0,10,0,0,10,0,0,10,0,0,0,0,"6.2",0,0
1,1,19449717,"7.3",#VALUE!,21,21,10,10,"7.5",10,10,10,"3.3",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,"3.3",0,0,0,0,0,0,0,0,4,0,0,10,0,"8.8",0,0
